system,file,bar_index,jdm
PulseFormer,sample_09.mid,5,0.6
PulseFormer,sample_09.mid,6,0.2
PulseFormer,sample_09.mid,7,0.4
PulseFormer,sample_09.mid,8,0.2
PulseFormer,sample_09.mid,9,0.6
PulseFormer,sample_10.mid,0,0.2857142857142857
PulseFormer,sample_10.mid,1,0.625
PulseFormer,sample_10.mid,2,0.625
PulseFormer,sample_10.mid,3,0.625
PulseFormer,sample_10.mid,4,0.625
PulseFormer,sample_10.mid,5,0.75
PulseFormer,sample_10.mid,6,0.875
PulseFormer,sample_10.mid,7,0.75
PulseFormer,sample_10.mid,8,0.375
PulseFormer,sample_10.mid,9,0.7142857142857143
PulseFormer,sample_10.mid,10,0.625
PulseFormer,sample_10.mid,11,0.625
PulseFormer,sample_10.mid,12,0.125
PulseFormer,sample_10.mid,13,0.0
MMM-Transformer,sample_01.mid,0,0.0
MMM-Transformer,sample_01.mid,1,0.0
MMM-Transformer,sample_01.mid,2,0.0
MMM-Transformer,sample_01.mid,3,0.0
MMM-Transformer,sample_02.mid,0,0.0
MMM-Transformer,sample_02.mid,1,0.0
MMM-Transformer,sample_02.mid,2,0.0
MMM-Transformer,sample_02.mid,3,0.0
MMM-Transformer,sample_02.mid,4,0.0
MMM-Transformer,sample_02.mid,5,0.0
MMM-Transformer,sample_02.mid,6,0.0
MMM-Transformer,sample_02.mid,7,0.0
MMM-Transformer,sample_03.mid,0,0.625
MMM-Transformer,sample_03.mid,1,0.5714285714285714
MMM-Transformer,sample_03.mid,2,0.4
MMM-Transformer,sample_03.mid,3,0.8
MMM-Transformer,sample_03.mid,4,0.75
MMM-Transformer,sample_03.mid,5,0.6666666666666666
MMM-Transformer,sample_03.mid,6,0.2222222222222222
MMM-Transformer,sample_03.mid,7,0.5714285714285714
MMM-Transformer,sample_03.mid,8,0.4444444444444444
MMM-Transformer,sample_03.mid,9,0.5714285714285714
MMM-Transformer,sample_03.mid,10,0.3333333333333333
MMM-Transformer,sample_03.mid,11,0.6
MMM-Transformer,sample_04.mid,0,0.42857142857142855
MMM-Transformer,sample_04.mid,1,0.625
MMM-Transformer,sample_04.mid,2,0.5
MMM-Transformer,sample_04.mid,3,0.625
MMM-Transformer,sample_04.mid,4,0.5
MMM-Transformer,sample_04.mid,5,0.625
MMM-Transformer,sample_04.mid,6,0.5
MMM-Transformer,sample_04.mid,7,0.625
MMM-Transformer,sample_04.mid,8,0.5
MMM-Transformer,sample_04.mid,9,0.625
MMM-Transformer,sample_04.mid,10,1.0
MMM-Transformer,sample_05.mid,0,0.2857142857142857
MMM-Transformer,sample_05.mid,1,0.375
MMM-Transformer,sample_05.mid,2,0.375
MMM-Transformer,sample_05.mid,3,0.5
MMM-Transformer,sample_05.mid,4,0.375
MMM-Transformer,sample_05.mid,5,0.375
MMM-Transformer,sample_05.mid,6,0.375
MMM-Transformer,sample_05.mid,7,0.5
MMM-Transformer,sample_05.mid,8,0.375
MMM-Transformer,sample_05.mid,9,0.375
MMM-Transformer,sample_05.mid,10,0.375
MMM-Transformer,sample_05.mid,11,0.625
MMM-Transformer,sample_05.mid,12,0.375
MMM-Transformer,sample_05.mid,13,0.5
MMM-Transformer,sample_05.mid,14,1.0
MMM-Transformer,sample_06.mid,0,0.5
MMM-Transformer,sample_06.mid,1,1.0
MMM-Transformer,sample_06.mid,2,0.7777777777777778
MMM-Transformer,sample_06.mid,3,1.0
MMM-Transformer,sample_06.mid,4,0.875
MMM-Transformer,sample_06.mid,5,1.0
MMM-Transformer,sample_07.mid,0,0.75
MMM-Transformer,sample_07.mid,1,0.875
MMM-Transformer,sample_07.mid,2,0.6666666666666666
MMM-Transformer,sample_07.mid,3,0.875
MMM-Transformer,sample_07.mid,4,0.625
MMM-Transformer,sample_07.mid,5,0.875
MMM-Transformer,sample_07.mid,6,0.6666666666666666
MMM-Transformer,sample_07.mid,7,0.875
MMM-Transformer,sample_07.mid,8,0.6666666666666666
MMM-Transformer,sample_07.mid,9,0.75
MMM-Transformer,sample_08.mid,0,0.5714285714285714
MMM-Transformer,sample_08.mid,1,0.5
MMM-Transformer,sample_08.mid,2,0.5
MMM-Transformer,sample_08.mid,3,0.5714285714285714
MMM-Transformer,sample_08.mid,4,0.5714285714285714
MMM-Transformer,sample_08.mid,5,0.5714285714285714
MMM-Transformer,sample_08.mid,6,0.375
MMM-Transformer,sample_08.mid,7,0.5714285714285714
MMM-Transformer,sample_08.mid,8,0.625
MMM-Transformer,sample_08.mid,9,0.5714285714285714
MMM-Transformer,sample_08.mid,10,0.5714285714285714
MMM-Transformer,sample_08.mid,11,0.5
MMM-Transformer,sample_08.mid,12,0.625
MMM-Transformer,sample_08.mid,13,0.5714285714285714
MMM-Transformer,sample_09.mid,0,0.14285714285714285
MMM-Transformer,sample_09.mid,1,0.625
MMM-Transformer,sample_09.mid,2,0.75
MMM-Transformer,sample_09.mid,3,0.625
MMM-Transformer,sample_09.mid,4,0.625
MMM-Transformer,sample_09.mid,5,0.625
MMM-Transformer,sample_09.mid,6,0.625
MMM-Transformer,sample_09.mid,7,0.625
MMM-Transformer,sample_09.mid,8,0.625
MMM-Transformer,sample_09.mid,9,0.75
MMM-Transformer,sample_09.mid,10,0.625
MMM-Transformer,sample_09.mid,11,0.125
MMM-Transformer,sample_09.mid,12,0.0
MMM-Transformer,sample_10.mid,0,0.0
MMM-Transformer,sample_10.mid,1,0.0
MMM-Transformer,sample_10.mid,2,0.0
MMM-Transformer,sample_10.mid,3,0.0
MMM-Transformer,sample_10.mid,4,0.0
